                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220707"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                              num_retries                                num_iters 
                                       5                                      810                  7.4416000000000000E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.7441814143609530E-002                  6.4709779199792761E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6857587379935539E-001                  6.4709779199792761E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6857587379935539E-001                 -2.1907132910433946E-001                 -4.7368365460879645E+001                 -9.8999999999999986E+001                 -2.1907132910433955E-001                 -2.6713550399918273E-001                 -1.1988446195417539E+000                 -4.7368365460879645E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7523033980788223E+000                 -1.4801135389519501E-001                 -5.5959312240745664E-002                  4.5499862517846239E+000                  0.0000000000000000E+000                  1.7144230529159238E+001                  1.8825167807898673E+000                  7.1286986645530250E+000                  6.1523252233935943E-001                  8.5611915392871329E-001                  1.2810434398444570E+000                  7.1221228673061898E-001                  2.6894122009177002E-001                  2.7619759587002423E-003                  8.7669504694525575E-003                  3.2213766526935704E-003                  8.7668219614892851E-003                  7.1229382258743534E-001                  2.6893212160626345E-001                  1.7094936955572049E+002                  4.0548967763021624E+003                                        0                                        2 
                                      10                                      809                  2.5958682112000003E+006                  5.7126312144286233E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.2239714254573308E-002                  6.1934034516470005E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6796769184269893E-001                  6.1934034516470005E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6796769184269893E-001                 -1.8484275794518362E-001                 -4.7269727892944090E+001                 -9.8999999999999986E+001                 -1.8484275794518376E-001                 -2.3146048047018336E-001                 -1.1771763977266290E+000                 -4.7269727892944090E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7517639876524687E+000                 -1.5645150969381680E-001                 -5.9100569287349303E-002                  4.5562687658778316E+000                  0.0000000000000000E+000                  1.7153811698675707E+001                  1.8904645379721898E+000                  7.1303043960654744E+000                  6.1528179274960348E-001                  8.5606780287426232E-001                  1.2811771689300850E+000                  7.1211009987163498E-001                  2.6902605471804081E-001                  2.6499041192730582E-003                  8.7670460730695180E-003                  3.2212747185491118E-003                  8.7665445526071174E-003                  7.1227837944776207E-001                  2.6894029460070168E-001                  1.7281315847074538E+002                  4.1165369913734903E+003                                        0                                        3 
                                      15                                      805                  7.2035107872931836E+006                  6.1085374446667471E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  5.3296800359387921E-002                  5.1118717890686616E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6850939536836078E-001                  5.1118717890686616E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6850939536836078E-001                 -1.6112896734448767E-001                 -4.7200538011741443E+001                 -1.5954589770191003E+001                 -1.6112896734448762E-001                 -2.0320762843723392E-001                 -1.1957208354632241E+000                 -4.7200538011741443E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7520634535245652E+000                 -1.5802391162964660E-001                 -6.0485701999457069E-002                  4.5590390313020475E+000                  0.0000000000000000E+000                  1.7157448480803058E+001                  1.8929650722402087E+000                  7.1315185410531861E+000                  6.1541280917391616E-001                  8.5593140454743633E-001                  1.2815327993019345E+000                  7.1183879942620221E-001                  2.6925070500081422E-001                  2.3464152218493819E-003                  8.7672861129045078E-003                  3.2210094106171080E-003                  8.7658225298027029E-003                  7.1224022963188649E-001                  2.6896379857543945E-001                  1.7362056899745110E+002                  4.1414512623912606E+003                                        0                                        5 
                                      20                                      799                  1.8668799962237377E+007                  6.5044436749048709E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  3.8470279199012851E-002                  3.8347038686210977E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6828804249517331E-001                  3.8347038686210977E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6828804249517331E-001                 -1.6070116567133128E-001                 -4.7248599380355230E+001                 -9.8999999999999986E+001                 -1.6070116567133136E-001                 -1.9119739615222978E-001                 -1.3293982075487418E+000                 -4.7248599380355230E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7517766391289102E+000                 -1.6017484286278635E-001                 -6.0987538824715859E-002                  4.5600427049525649E+000                  0.0000000000000000E+000                  1.7159535755322576E+001                  1.8963286966586212E+000                  7.1304466227966774E+000                  6.1575049416309713E-001                  8.5558036471443999E-001                  1.2824446989222664E+000                  7.1113769639050484E-001                  2.6983926795025992E-001                  1.6621119007768060E-003                  8.7678906126062647E-003                  3.2203446755479878E-003                  8.7640134852137522E-003                  7.1214903547277342E-001                  2.6902707333838838E-001                  1.7390914473319552E+002                  4.1524043343039066E+003                                        0                                        5 
                                      25                                      795                  4.7198108322034501E+007                  6.9003499051429955E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  1.9253289435560868E-002                  9.9999999996715616E-001                  9.6873849827275149E-001                  1.8623516127872664E-002                  7.8129685685644154E-008                  9.9999999996715616E-001                  9.6873849827275149E-001                  1.8623516127872664E-002                  7.8129685685644154E-008                 -1.5477227869708990E-001                 -4.7260805849664941E+001                 -1.5954589770191003E+001                 -1.5477227869708982E-001                 -1.7122575855787833E-001                 -1.5844995934083037E+000                 -4.7260805849664941E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7525906080456490E+000                 -1.5360709763650193E-001                 -5.9331604045051417E-002                  4.5567308353932354E+000                  0.0000000000000000E+000                  1.7168627491939620E+001                  1.9066708096865046E+000                  7.1297091715388774E+000                  6.1661262291607621E-001                  8.5467731836149707E-001                  1.2847494204004790E+000                  7.0933381477693247E-001                  2.7146748390703479E-001                  5.9034378034453791E-004                  8.7694127640652892E-003                  3.2186997200594719E-003                  8.7595368177957010E-003                  7.1193156299899440E-001                  2.6919671889094288E-001                  1.7294322989870562E+002                  4.1169991911388533E+003                                        0                                        5 
                                      30                                      785                  1.1818815689988488E+008                  7.2962561353811193E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.7415240499989594E-003                  9.9999999996949995E-001                  9.6927797815542693E-001                  2.4729413058109384E-003                  7.8129685685644154E-008                  9.9999999996949995E-001                  9.6927797815542693E-001                  2.4729413058109384E-003                  7.8129685685644154E-008                 -1.4765147702955447E-001                 -4.7236321463593050E+001                 -1.5954589770191003E+001                 -1.4765147702955442E-001                 -1.5541570909456595E-001                 -1.8992136132038768E+000                 -4.7236321463593050E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7532734989972170E+000                 -1.4748880867916245E-001                 -5.7638241469517848E-002                  4.5533441102421683E+000                  0.0000000000000000E+000                  1.7177101596538183E+001                  1.9171061576288773E+000                  7.1292571334457300E+000                  6.1888638909943650E-001                  8.5228115785883962E-001                  1.2907485610444147E+000                  7.0454432188233940E-001                  2.7616377747411697E-001                  3.7777017009957625E-005                  8.7731171138390567E-003                  3.2145611636513667E-003                  8.7482739351467283E-003                  7.1140530915468714E-001                  2.6964901430309335E-001                  1.7195928262222196E+002                  4.0818083620359207E+003                                        0                                       10 
                                      35                                      787                  2.9483411457712144E+008                  7.6921623656192430E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996715616E-001                  9.6956126435791334E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996715616E-001                  9.6956126435791334E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4053696288112313E-001                 -4.7080842782091196E+001                 -9.8999999999999986E+001                 -1.4053696288112327E-001                 -1.4454441888312472E-001                 -2.1774546984808199E+000                 -4.7080842782091196E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7538173041771272E+000                 -1.4047506780747637E-001                 -5.5218981393496139E-002                  4.5485055900901248E+000                  0.0000000000000000E+000                  1.7184257964783608E+001                  1.9269542674329632E+000                  7.1308856942907566E+000                  6.2514292611417976E-001                  8.4576504766808802E-001                  1.3072487560928372E+000                  6.9151401155060965E-001                  2.8917116215989952E-001                  1.3717030772717214E-005                  8.7816125345507017E-003                  3.2042993450129942E-003                  8.7203468882028519E-003                  7.1011809070674725E-001                  2.7082676061887512E-001                  1.7056577703520082E+002                  4.0340584670130884E+003                                        0                                       10 
                                      40                                      789                  7.3438578398454285E+008                  8.0880685958573668E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996715616E-001                  9.7014217346822118E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996715616E-001                  9.7014217346822118E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2687314938375921E-001                 -4.6670138079057104E+001                 -9.8999999999999986E+001                 -1.2687314938375949E-001                 -1.2912271843047424E-001                 -2.4136824320519228E+000                 -4.6670138079057104E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7548785734546097E+000                 -1.2680049083930767E-001                 -5.0504231464375882E-002                  4.5390760902318847E+000                  0.0000000000000000E+000                  1.7199628951270089E+001                  1.9484652316836453E+000                  7.1359004996264908E+000                  6.4146394014382546E-001                  8.2927201073451950E-001                  1.3509583719817257E+000                  6.5852983943262511E-001                  3.2210031330615418E-001                  1.4093593684094897E-005                  8.8005118337525952E-003                  3.1788505873338816E-003                  8.6510893155041374E-003                  7.0690684177422325E-001                  2.7388596702263585E-001                  1.6788083603214426E+002                  3.9425939742069636E+003                                        0                                       10 
                                      45                                      791                  1.4876620254614093E+009                  8.1334584649930051E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996715616E-001                  9.7138723684071127E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996715616E-001                  9.7138723684071127E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0431918000572653E-001                 -4.5948444628043021E+001                 -1.5352529778863040E+001                 -1.0431918000572628E-001                 -1.0607228351190104E-001                 -2.4991721898706873E+000                 -4.5948444628043021E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7565332288650297E+000                 -1.0424362299409212E-001                 -4.2535108362608882E-002                  4.5231378440283505E+000                  0.0000000000000000E+000                  1.7227290562040022E+001                  1.9870151997379815E+000                  7.1451749000851406E+000                  6.7207637127568287E-001                  8.0052636082765383E-001                  1.4345573337566950E+000                  6.0104151818254892E-001                  3.7949612090180984E-001                  1.4857962043545281E-005                  8.8236945095877626E-003                  3.1358912956385571E-003                  8.5341776648377443E-003                  7.0123308224656944E-001                  2.7941211266524024E-001                  1.6343774133955537E+002                  3.7932937887230669E+003                                        0                                       10 
